Release 8.1i - Fit P.20131013
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

 7-30-2023 11:18PM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing; printing and sorting. The comma ';'
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  z80mmu.ngd
output file: z80mmu_pad.csv
Part type:   xc95144xl
Speed grade: -7
Package:     tq100

Pinout by Pin Number:

-----;-----;-----;-----;-----;-----;-----;-----;-----;-----;
Pin Number;Signal Name;Pin Usage;Pin Name;Direction;IO Standard;IO Bank Number;{blank};Slew Rate;Termination;{blank};Voltage;Constraint;
P1;oe_n;GTS;I/O/GTS3;;;;;;;;;;
P2;TIE;;I/O/GTS4;;;;;;;;;;
P3;TIE;;I/O/GTS1;;;;;;;;;;
P4;TIE;;I/O/GTS2;;;;;;;;;;
P5;VCC;;VCCINT;;;;;;;;;;
P6;a_out_20to13<2>;O;I/O;OUTPUT;;;;;;;;;
P7;TIE;;I/O;;;;;;;;;;
P8;TIE;;I/O;;;;;;;;;;
P9;d<2>;I/O;I/O;BIDIR;;;;;;;;;
P10;TIE;;I/O;;;;;;;;;;
P11;TIE;;I/O;;;;;;;;;;
P12;a_out_20to13<1>;O;I/O;OUTPUT;;;;;;;;;
P13;a_in_15to13<2>;I;I/O;INPUT;;;;;;;;;
P14;TIE;;I/O;;;;;;;;;;
P15;rw;I;I/O;INPUT;;;;;;;;;
P16;d<1>;I/O;I/O;BIDIR;;;;;;;;;
P17;TIE;;I/O;;;;;;;;;;
P18;TIE;;I/O;;;;;;;;;;
P19;TIE;;I/O;;;;;;;;;;
P20;TIE;;I/O;;;;;;;;;;
P21;GND;;GND;;;;;;;;;;
P22;TIE;;I/O/GCK1;;;;;;;;;;
P23;TIE;;I/O/GCK2;;;;;;;;;;
P24;d<3>;I/O;I/O;BIDIR;;;;;;;;;
P25;TIE;;I/O;;;;;;;;;;
P26;VCC;;VCCIO;;;;;;;;;;
P27;a_in_15to13<1>;I;I/O/GCK3;INPUT;;;;;;;;;
P28;TIE;;I/O;;;;;;;;;;
P29;TIE;;I/O;;;;;;;;;;
P30;a_out_20to13<3>;O;I/O;OUTPUT;;;;;;;;;
P31;GND;;GND;;;;;;;;;;
P32;TIE;;I/O;;;;;;;;;;
P33;TIE;;I/O;;;;;;;;;;
P34;TIE;;I/O;;;;;;;;;;
P35;d<5>;I/O;I/O;BIDIR;;;;;;;;;
P36;TIE;;I/O;;;;;;;;;;
P37;TIE;;I/O;;;;;;;;;;
P38;VCC;;VCCIO;;;;;;;;;;
P39;TIE;;I/O;;;;;;;;;;
P40;TIE;;I/O;;;;;;;;;;
P41;a_out_20to13<5>;O;I/O;OUTPUT;;;;;;;;;
P42;TIE;;I/O;;;;;;;;;;
P43;TIE;;I/O;;;;;;;;;;
P44;GND;;GND;;;;;;;;;;
P45;TDI;;TDI;;;;;;;;;;
P46;TIE;;I/O;;;;;;;;;;
P47;TMS;;TMS;;;;;;;;;;
P48;TCK;;TCK;;;;;;;;;;
P49;TIE;;I/O;;;;;;;;;;
P50;TIE;;I/O;;;;;;;;;;
P51;VCC;;VCCIO;;;;;;;;;;
P52;a_out_20to13<0>;O;I/O;OUTPUT;;;;;;;;;
P53;TIE;;I/O;;;;;;;;;;
P54;TIE;;I/O;;;;;;;;;;
P55;TIE;;I/O;;;;;;;;;;
P56;a_out_20to13<6>;O;I/O;OUTPUT;;;;;;;;;
P57;VCC;;VCCINT;;;;;;;;;;
P58;TIE;;I/O;;;;;;;;;;
P59;TIE;;I/O;;;;;;;;;;
P60;TIE;;I/O;;;;;;;;;;
P61;TIE;;I/O;;;;;;;;;;
P62;GND;;GND;;;;;;;;;;
P63;d<0>;I/O;I/O;BIDIR;;;;;;;;;
P64;TIE;;I/O;;;;;;;;;;
P65;TIE;;I/O;;;;;;;;;;
P66;TIE;;I/O;;;;;;;;;;
P67;TIE;;I/O;;;;;;;;;;
P68;d<6>;I/O;I/O;BIDIR;;;;;;;;;
P69;GND;;GND;;;;;;;;;;
P70;TIE;;I/O;;;;;;;;;;
P71;TIE;;I/O;;;;;;;;;;
P72;TIE;;I/O;;;;;;;;;;
P73;cs_n;I;I/O;INPUT;;;;;;;;;
P74;d<7>;I/O;I/O;BIDIR;;;;;;;;;
P75;GND;;GND;;;;;;;;;;
P76;TIE;;I/O;;;;;;;;;;
P77;TIE;;I/O;;;;;;;;;;
P78;raddr<1>;I;I/O;INPUT;;;;;;;;;
P79;raddr<3>;I;I/O;INPUT;;;;;;;;;
P80;a_out_20to13<7>;O;I/O;OUTPUT;;;;;;;;;
P81;TIE;;I/O;;;;;;;;;;
P82;TIE;;I/O;;;;;;;;;;
P83;TDO;;TDO;;;;;;;;;;
P84;GND;;GND;;;;;;;;;;
P85;raddr<0>;I;I/O;INPUT;;;;;;;;;
P86;a_in_15to13<0>;I;I/O;INPUT;;;;;;;;;
P87;d<4>;I/O;I/O;BIDIR;;;;;;;;;
P88;VCC;;VCCIO;;;;;;;;;;
P89;raddr<2>;I;I/O;INPUT;;;;;;;;;
P90;TIE;;I/O;;;;;;;;;;
P91;TIE;;I/O;;;;;;;;;;
P92;TIE;;I/O;;;;;;;;;;
P93;a_out_20to13<4>;O;I/O;OUTPUT;;;;;;;;;
P94;TIE;;I/O;;;;;;;;;;
P95;TIE;;I/O;;;;;;;;;;
P96;TIE;;I/O;;;;;;;;;;
P97;TIE;;I/O;;;;;;;;;;
P98;VCC;;VCCINT;;;;;;;;;;
P99;rst_n;GSR;I/O/GSR;;;;;;;;;;
P100;GND;;GND;;;;;;;;;;

To preserve the pinout above for future design iterations in
Project Navigator simply execute the (Lock Pins) process
located under the (Implement Design) process in a toolbox named
(Optional Implementation Tools) or invoke PIN2UCF from the
command line. The location constraints will be written into your
specified UCF file


